機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,西醫生,中醫師,牙醫師,藥師,藥劑生,護理師,護士,助產士,助產師,醫事檢驗師,醫事檢驗生,物理治療師,職能治療師,醫事放射師,醫事放射士,物理治療生,呼吸治療師,職能治療生,諮商心理師,臨床心理師,營養師,語言治療師,牙體技術師,聽力師,牙體技術生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737051690,依均安牙醫診所,私立牙醫診所,牙醫診所,彰化縣員林市,04-8377518 0970261998,彰化縣員林市中正路154號1、2樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060019,光良牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8852347,彰化縣溪湖鎮太平里員鹿路三段１９１號,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060028,陳梓垚牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8810293,彰化縣溪湖鎮光華里員鹿路三段１３７號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060037,陳牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8854510,彰化縣溪湖鎮彰水路三段１４７號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060055,溪湖楊牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04─8854159,彰化縣溪湖鎮二溪路一段六二號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060082,真一牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8814803,彰化縣溪湖鎮平和街２３９號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060108,裕隆牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8851894,彰化縣溪湖鎮信善街３７號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737060117,正芳牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04 8812956,彰化縣溪湖鎮彰水路三段１０６，１０８號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737061141,欣亞牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣溪湖鎮,04-8829060,彰化縣溪湖鎮培英路東寮里40號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737061150,黃俊傑牙醫診所,私立牙醫診所,牙醫診所,彰化縣溪湖鎮,04-8852801,彰化縣溪湖鎮西環路２０５號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737070015,仁愛牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣田中鎮,04 8742055,彰化縣田中鎮西路里中州路一段５１號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737070033,現代牙醫診所,私立牙醫診所,牙醫一般診所,彰化縣田中鎮,04 8742055,彰化縣田中鎮西路街里西路街８７號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090237,順安牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 5323771,臺中市潭子區潭子街二段８７號,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090255,藍牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25362206,臺中市潭子區潭子街二段７３號,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090264,天成牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25313013,臺中市潭子區榮興街93號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090273,民生牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25346502,臺中市潭子區中山路二段四七四之一號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090326,國際牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25326155,臺中市潭子區頭張路一段九十六號一樓、二樓,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090335,健寶牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25345791,臺中市潭子區雅潭路二段二三０號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090406,大方牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 5367632,臺中市潭子區圓通南路293號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736090415,友祥牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25324599,臺中市潭子區潭興路三段七十五號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091430,健宏牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,045322594,臺中市潭子區中山路一段171號,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091458,育全牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04 25314903,臺中市潭子區潭興路三段112號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091485,世界牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04-25352980,臺中市潭子區中山路一段17-2及17-3號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091538,宜德牙醫診所,私立牙醫診所,牙醫一般診所,臺中市潭子區,04-25311983,臺中市潭子區圓通南路281號1及2樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091556,矽品牙醫診所,私立牙醫診所,牙醫診所,臺中市潭子區,04-25326845,臺中市潭子區大豐路三段78號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091565,許牙醫診所,私立牙醫診所,牙醫診所,臺中市潭子區,04-25351173,臺中市潭子區中山路一段7號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736091574,豐禾牙醫診所,私立牙醫診所,牙醫診所,臺中市潭子區,0425329338,臺中市潭子區潭興路三段67及69號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736100023,潘牙醫診所,私立牙醫診所,牙醫診所,臺中市大雅區,04 25662493,臺中市大雅區中清東路239號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736100041,君悅美學牙醫診所,私立牙醫診所,牙醫一般診所,臺中市大雅區,04 25671588,臺中市大雅區中清路三段1103號1樓及1105號1樓,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736100078,群豐牙醫診所,私立牙醫診所,牙醫一般診所,臺中市大雅區,04 25683836,臺中市大雅區雅潭路四段88號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736100087,朝美牙醫診所,私立牙醫診所,牙醫一般診所,臺中市大雅區,04 25686497,臺中市大雅區民生路二段六號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736100130,明德牙醫診所,私立牙醫診所,牙醫一般診所,臺中市大雅區,04 25675533,臺中市大雅區上楓里民生路３段３７０號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736031265,鼎盛牙醫診所,私立牙醫診所,牙醫診所,臺中市大甲區,04-26802686,臺中市大甲區文武路42號1樓及2樓,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736031274,寶貝牙牙醫診所,私立牙醫診所,牙醫診所,臺中市大甲區,04-26817123,臺中市大甲區通天路206號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040040,吳哲夫牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26228683,臺中市清水區新興路長壽巷１１號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040086,華安牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26234482,臺中市清水區新興路１３０號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040102,高美牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 6265640,臺中市清水區西寧路六十六號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040120,欣恩牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26233819,臺中市清水區光華路七十五號二樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040157,王敏星牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26239166,臺中市清水區中山路２５２號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040166,安怡牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 6227910,臺中市清水區文昌街４０號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040193,義峰牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26237347,臺中市清水區鎮南街八十一之八號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040200,今日微笑牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26235334,臺中市清水區文昌街三十九號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040219,清水牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26239998,"臺中市清水區中正街二十七號一,二樓",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736040237,吳勵成牙醫診所,私立牙醫診所,牙醫一般診所,臺中市清水區,04 26223443,臺中市清水區清水街十二號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736050028,調元牙醫診所,私立牙醫診所,牙醫一般診所,臺中市沙鹿區,04 26625306,臺中市沙鹿區中山路永和巷３１１號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736050037,名德牙醫診所,私立牙醫診所,牙醫一般診所,臺中市沙鹿區,04-26627869,臺中市沙鹿區中山路５３８號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732050111,上林牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3528779,桃園市蘆竹區南崁路２０３號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732050120,吉美牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3229383,桃園市蘆竹區南崁路３４６－１號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732050139,宏福牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3233084,桃園市蘆竹區大竹路５５５號,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732050157,惠群牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3210522,桃園市蘆竹區南崁路２７２號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732050166,三三牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3228964,桃園市蘆竹區南崁路１２６號,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051314,永泰牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03-3240256,桃園市蘆竹區南山路三段294號1樓,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051332,康華牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03-3530789,桃園市蘆竹區南上路19號1-2樓,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051485,京敦牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,(03)2129702,桃園市蘆竹區吉林路142號1樓,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051510,維成牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,033116110,桃園市蘆竹區五福路86號1樓,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051538,長興牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,03 3137122,桃園市蘆竹區大竹村大新路１９號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051556,臻品牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,032122200,桃園市蘆竹區中山路183號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051565,健成牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,2129377,桃園市蘆竹區奉化路128號,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051574,源泓牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,032222005,桃園市蘆竹區南昌路262之1號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051583,家恩牙醫診所,私立牙醫診所,牙醫一般診所,桃園市蘆竹區,032222512,桃園市蘆竹區中正路157號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051609,謙謙牙醫診所,私立牙醫診所,牙醫診所,桃園市蘆竹區,03-2220308,桃園市蘆竹區福祿一街220號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732051618,捷登牙醫診所,私立牙醫診所,牙醫診所,桃園市蘆竹區,03-3223372,桃園市蘆竹區南福街82號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732060028,大園牙醫診所,私立牙醫診所,牙醫一般診所,桃園市大園區,03 3867888,桃園市大園區中山北路10號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022340,貝多芬牙醫診所,私立牙醫診所,牙醫診所,桃園市中壢區,03-4363669,桃園市中壢區中山東路二段173號,"齒顎矯正科,",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022377,健昇牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4533174,桃園市中壢區榮民路一０一號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022386,國際牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,034255035,桃園市中壢區元化路五七號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022475,宏源牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4621388,桃園市中壢區文化路361號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022564,全家福牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4368005,桃園市中壢區中北路二段四六０號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022582,永潔牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4362740,桃園市中壢區新中北路四九、五一號,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022591,精誠牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,4927492,桃園市中壢區中正路三四三號,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022608,永福牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4633366,桃園市中壢區永福路1037號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022617,鼎新牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4358421,桃園市中壢區莊敬路811巷7號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022635,東津牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03 4631021,桃園市中壢區興仁路一段99號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022644,源泰牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4670066,桃園市中壢區龍岡路二段八號一樓、二樓,,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732022653,德欣牙醫診所,私立牙醫診所,牙醫一般診所,桃園市中壢區,03-4205737,桃園市中壢區民族路五段80號,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310157,慶成牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-3125088,臺南市永康區中華里成功里忠勇街２６號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310166,康福牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2018125,臺南市永康區三合里中山東路99號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310184,新格牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2716871,臺南市永康區崑山里大灣路九八六號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310193,耀明牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2323566,臺南市永康區五王里中華路５２４號一樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310228,光華牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2313898,臺南市永康區大橋里中華路850號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310273,新美牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2755241,臺南市永康區埔園里中山路 223號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310308,至善牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2011177,臺南市永康區復華里復國二路２４２號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310317,振榮牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2025618,臺南市永康區埔園里中山路１30號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310399,成美牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2735113,臺南市永康區南灣里大灣一街１２號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310406,惠康牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2030102,臺南市永康區復華里復國一路558號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310415,勳生牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2013898,臺南市永康區二王里　中山南路９０６號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310424,尚鴻牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2030313,臺南市永康區二王里中山南路４８２號,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310442,啟仁牙醫診所,私立牙醫診所,牙醫診所,臺南市永康區,06-3120709,臺南市永康區中華里忠勇街52號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310451,英堡牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2027576,臺南市永康區六合里中華二路278號,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310479,林志明牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2039611,臺南市永康區六合里中華路３６１號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310540,北一牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2043575,臺南市永康區埔園里自強路671號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310559,惠國牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2030055,臺南市永康區復華里復國一路467號,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310568,新象牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2724910,臺南市永康區大灣里大灣路１８０號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310602,安安牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-2015925,臺南市永康區復華里復國一路429號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310611,陳昱汶牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2337901,臺南市永康區埔園里中山路329號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310639,文化牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2031670,臺南市永康區網寮里文化路１６６號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741310657,上典牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06 2053895,臺南市永康區東灣里民族路237號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311681,國賓牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-2326811,臺南市永康區東橋里中山南路459-1號1樓,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311690,初昌傑牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-2426902,臺南市永康區尚頂里中華路988-1號2F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311770,大灣牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-2056916,臺南市永康區西灣里國光六街6號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311789,品德牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-5100627,臺南市永康區六合里中華二路三五八巷六號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311798,鼎佳牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,06-3012677,臺南市永康區六合里中山南路26號,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741311814,明聖牙醫診所,私立牙醫診所,牙醫一般診所,臺南市永康區,2327566,臺南市永康區正強里中正路二三八號,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
